Sample Name	Model ID	Feature ID	Classification	All Genes
MCF7_BREAST	ACH-000019	MCF7_BREAST_amplicon1_ecDNA_1	ecDNA	['ACE', 'APPBP2', 'ARFGEF2', 'BCAS1', 'BCAS3', 'BCAS4', 'BMP7', 'BMP7-AS1', 'BRIP1', 'C17orf64', 'C17orf82', 'CA4', 'CCDC47', 'CD79B', 'CSH1', 'CSH2', 'CSHL1', 'CYB561', 'CYP24A1', 'DCAF7', 'DDX42', 'DOK5', 'ERN1', 'FTSJ3', 'GH1', 'GH2', 'HEATR6', 'ICAM2', 'INTS2', 'KCNH6', 'LIMD2', 'MAP3K3', 'NACA2', 'NCOA3', 'PARD6B', 'PFDN4', 'PPM1D', 'PPM1E', 'PREX1', 'PRR29', 'PRR29-AS1', 'PSMC5', 'RAD51C', 'RNFT1', 'RNFT1-DT', 'RPS6KB1', 'RTEL1', 'RTEL1-TNFRSF6B', 'SCARNA20', 'SCN4A', 'SMARCD2', 'SNHG25', 'SNORA50C', 'SNORD104', 'STRADA', 'SUMO1P1', 'TACO1', 'TANC2', 'TBC1D3P1-DHX40P1', 'TBX2', 'TBX2-AS1', 'TBX4', 'TCAM1P', 'TEX14', 'TEX2', 'TRIM37', 'TUBD1', 'USP32', 'WFDC21P', 'ZMYND8', 'ZNF217']
MCF7_BREAST	ACH-000019	MCF7_BREAST_amplicon2_Linear amplification_1	Linear amplification	['KCTD3']
MCF7_BREAST	ACH-000019	MCF7_BREAST_amplicon3_Linear amplification_1	Linear amplification	[]
MCF7_BREAST	ACH-000019	MCF7_BREAST_amplicon4_ecDNA_1	ecDNA	['GRHL2']
MCF7_BREAST	ACH-000019	MCF7_BREAST_amplicon5_ecDNA_1	ecDNA	[]
MCF7_BREAST	ACH-000019	MCF7_BREAST_amplicon6_Linear amplification_1	Linear amplification	['ATP8B4', 'DTWD1', 'FAM227B', 'HDC', 'SLC27A2']
MCF7_BREAST	ACH-000019	MCF7_BREAST_amplicon7_ecDNA_1	ecDNA	['PLCG1', 'PLCG1-AS1']
MCF7_BREAST	ACH-000019	MCF7_BREAST_amplicon8_ecDNA_1	ecDNA	['DSCR4', 'DSCR8']
MDAMB134VI_BREAST	ACH-000044	MDAMB134VI_BREAST_amplicon1_ecDNA_1	ecDNA	['ADGRA2', 'ADRB3', 'ANO1', 'ASH2L', 'BAG4', 'BRF2', 'C8orf86', 'DDHD2', 'EIF4EBP1', 'ERLIN2', 'FGFR1', 'GOT1L1', 'LETM2', 'LSM1', 'NSD3', 'PLPBP', 'PLPP5', 'RAB11FIP1', 'RNF5P1', 'STAR', 'ZNF703']
MDAMB134VI_BREAST	ACH-000044	MDAMB134VI_BREAST_amplicon1_ecDNA_2	ecDNA	['AAMDC', 'ACER3', 'ALG8', 'AQP11', 'B3GNT6', 'C2CD3', 'CAPN5', 'CLNS1A', 'COA4', 'DNAJB13', 'EMSY', 'GDPD4', 'GUCY2EP', 'GVQW3', 'INTS4', 'KCTD14', 'KCTD21-AS1', 'KLHL35', 'LRRC32', 'MRPL48', 'MYO7A', 'NDUFC2', 'NDUFC2-KCTD14', 'OMP', 'PAAF1', 'PAK1', 'PPME1', 'RAB6A', 'RSF1', 'THAP12', 'THRSP', 'TSKU', 'UCP2', 'UCP3', 'UNC5D', 'WNT11']
MDAMB157_BREAST	ACH-000621	MDAMB157_BREAST_amplicon2_Linear amplification_1	Linear amplification	['ECPAS', 'OR2K2', 'ZNF483']
MDAMB157_BREAST	ACH-000621	MDAMB157_BREAST_amplicon4_ecDNA_1	ecDNA	['METRNL']
MDAMB157_BREAST	ACH-000621	MDAMB157_BREAST_amplicon5_Linear amplification_1	Linear amplification	['C19orf12', 'CCNE1', 'PLEKHF1', 'POP4', 'UQCRFS1', 'URI1', 'VSTM2B']
MDAMB157_BREAST	ACH-000621	MDAMB157_BREAST_amplicon6_BFB_1	BFB	['MIMT1', 'PEG3', 'PEG3-AS1', 'SMIM17', 'ZFP28', 'ZIM2', 'ZIM2-AS1', 'ZNF470', 'ZNF471', 'ZNF582', 'ZNF582-AS1', 'ZNF583', 'ZNF667', 'ZNF667-AS1', 'ZNF71', 'ZNF71-SMIM17', 'ZNF835']
MDAMB175VII_BREAST	ACH-000759	MDAMB175VII_BREAST_amplicon1_BFB_1	BFB	['PCDH7']
MDAMB175VII_BREAST	ACH-000759	MDAMB175VII_BREAST_amplicon2_ecDNA_2	ecDNA	['ANO1', 'CCND1', 'CPT1A', 'CTTN', 'FADD', 'FGF19', 'FGF3', 'FGF4', 'GAL', 'IGHMBP2', 'LTO1', 'MRGPRD', 'MRGPRF', 'MRGPRF-AS1', 'MRPL21', 'MYEOV', 'PPFIA1', 'PPP6R3', 'SMIM38', 'TESMIN', 'TPCN2']
MDAMB175VII_BREAST	ACH-000759	MDAMB175VII_BREAST_amplicon2_ecDNA_1	ecDNA	['AAMDC', 'ACER3', 'ALG8', 'AQP11', 'ARRB1', 'B3GNT6', 'CAPN5', 'CHRDL2', 'CLNS1A', 'DGAT2', 'EMSY', 'GAB2', 'GDPD4', 'GDPD5', 'GUCY2EP', 'GVQW3', 'INTS4', 'KCNE3', 'KCTD14', 'KCTD21', 'KCTD21-AS1', 'KLHL35', 'LIPT2', 'LRRC32', 'MAP6', 'MOGAT2', 'MYO7A', 'NARS2', 'NDUFC2', 'NDUFC2-KCTD14', 'OMP', 'PAK1', 'POLD3', 'RNF169', 'RPS3', 'RSF1', 'SERPINH1', 'SLCO2B1', 'SNORD15A', 'SNORD15B', 'SPCS2', 'TENM4', 'THAP12', 'THRSP', 'TPBGL', 'TSKU', 'USP35', 'UVRAG', 'UVRAG-DT', 'WNT11', 'XRRA1']
MDAMB175VII_BREAST	ACH-000759	MDAMB175VII_BREAST_amplicon3_Linear amplification_1	Linear amplification	[]
MDAMB361_BREAST	ACH-000934	MDAMB361_BREAST_amplicon1_Complex non-cyclic_1	Complex non-cyclic	['ABI3', 'ACE', 'AMZ2P1', 'AP2B1', 'ARHGAP27P1', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'AXIN2', 'BCAS3', 'BRIP1', 'BTBD17', 'C17orf50', 'C17orf77', 'C17orf82', 'CA10', 'CA4', 'CACNG1', 'CACNG4', 'CCDC47', 'CCL14', 'CCL15', 'CCL15-CCL14', 'CCL16', 'CCL18', 'CCL23', 'CCL3', 'CCL3L1', 'CCL5', 'CD300A', 'CD300C', 'CD300E', 'CD300H', 'CD300LB', 'CD300LD', 'CD300LF', 'CD79B', 'CEP95', 'CLTC', 'CSH1', 'CSH2', 'CSHL1', 'CYB561', 'DCAF7', 'DDX42', 'DDX5', 'DHX40', 'DNAI2', 'ERBB2', 'ERN1', 'FADS6', 'FDXR', 'FLJ40194', 'FTSJ3', 'GAS2L2', 'GDAP1', 'GH1', 'GH2', 'GNA13', 'GNGT2', 'GPR142', 'GPRC5C', 'GRB7', 'GRIN2C', 'GSDMB', 'HEATR6', 'HEATR9', 'HELZ', 'ICAM2', 'IKZF3', 'INTS2', 'KCNH6', 'KIF19', 'LIMD2', 'LRRC37A3', 'LRRC37A8P', 'LYZL6', 'MAP3K3', 'MARCHF10', 'MARCHF10-DT', 'MGC16275', 'MIEN1', 'MILR1', 'MMP28', 'MTMR4', 'NACA2', 'NAT9', 'NEUROD2', 'NGFR', 'NXPH3', 'ORMDL3', 'PECAM1', 'PEX12', 'PGAP3', 'PHB', 'PHOSPHO1', 'PITPNC1', 'PLEKHM1P1', 'PNMT', 'POLG2', 'PPM1E', 'PPP1R1B', 'PRR29', 'PRR29-AS1', 'PSMC5', 'PSMD12', 'PTRH2', 'RAB37', 'RASL10B', 'RDM1', 'RGS9', 'RNFT1', 'RNFT1-DT', 'RPL38', 'RPS6KB1', 'SCARNA20', 'SCN4A', 'SEPTIN4-AS1', 'SLC9A3R1', 'SLFN14', 'SMARCD2', 'SMURF2', 'SNHG25', 'SNHG30', 'SNORA50C', 'SNORD104', 'SNORD7', 'SPOP', 'STARD3', 'STRADA', 'TACO1', 'TAF15', 'TANC2', 'TBC1D3P1-DHX40P1', 'TBX2', 'TBX2-AS1', 'TBX4', 'TCAM1P', 'TCAP', 'TEX2', 'TMEM104', 'TTYH2', 'TUBD1', 'VMP1', 'WFDC21P', 'YPEL2', 'ZNF652', 'ZPBP2']
MDAMB361_BREAST	ACH-000934	MDAMB361_BREAST_amplicon2_Linear amplification_1	Linear amplification	['ARID3C', 'C9orf24', 'CCL19', 'CCL21', 'CCL27', 'CNTFR', 'CNTFR-AS1', 'DCTN3', 'DNAI1', 'ENHO', 'FAM205A', 'FAM219A', 'GALT', 'IL11RA', 'MYORG', 'RPP25L', 'SIGMAR1']
MDAMB361_BREAST	ACH-000934	MDAMB361_BREAST_amplicon3_ecDNA_1	ecDNA	['ANO1', 'CCND1', 'CTTN', 'FADD', 'FGF19', 'FGF3', 'FGF4', 'LTO1', 'MRGPRD', 'MRGPRF', 'MRGPRF-AS1', 'MYEOV', 'PPFIA1', 'SMIM38', 'TPCN2']
MDAMB453_BREAST	ACH-000910	MDAMB453_BREAST_amplicon1_ecDNA_1	ecDNA	['MUC20', 'MUC4', 'SDHAP1', 'TNK2', 'TNK2-AS1']
MDAMB453_BREAST	ACH-000910	MDAMB453_BREAST_amplicon2_BFB_1	BFB	['TUSC1']
MDAMB453_BREAST	ACH-000910	MDAMB453_BREAST_amplicon3_Complex non-cyclic_1	Complex non-cyclic	['ALDH3B1', 'CCND1', 'MYEOV', 'SMIM38', 'UNC93B1']
MDAMB453_BREAST	ACH-000910	MDAMB453_BREAST_amplicon4_Complex non-cyclic_1	Complex non-cyclic	['ABCA10', 'ABCA5', 'ABCA6', 'ABCA8', 'ABCA9', 'ABCA9-AS1', 'AMZ2', 'AMZ2P1', 'APOH', 'ARHGAP27P1', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'ARHGAP27P2', 'ARMC7', 'ARSG', 'ATP5PD', 'AXIN2', 'BPTF', 'BTBD17', 'C17orf58', 'C17orf77', 'CACNG1', 'CACNG4', 'CACNG5', 'CASKIN2', 'CCDC47', 'CD300A', 'CD300C', 'CD300E', 'CD300H', 'CD300LB', 'CD300LD', 'CD300LF', 'CD79B', 'CDR2L', 'CEP112', 'CSH1', 'CSH2', 'CSHL1', 'DDX42', 'DLX3', 'DLX4', 'DNAI2', 'ERN1', 'FADS6', 'FAM117A', 'FAM20A', 'FDXR', 'FLJ45513', 'FTSJ3', 'GGA3', 'GH1', 'GH2', 'GNA13', 'GPR142', 'GPRC5C', 'GRB2', 'GRIN2C', 'HELZ', 'HID1', 'HID1-AS1', 'ICAM2', 'JPT1', 'KAT7', 'KCTD2', 'KIF19', 'KPNA2', 'LIMD2', 'LLGL2', 'LRRC37A3', 'MAP2K6', 'MGC16275', 'MIF4GD', 'MRPL58', 'MRPS7', 'MYO15B', 'NAT9', 'NOL11', 'NT5C', 'NUP85', 'OTOP2', 'OTOP3', 'PITPNC1', 'PLEKHM1P1', 'PRKAR1A', 'PRKCA', 'PRKCA-AS1', 'PRO1804', 'PRR29', 'PRR29-AS1', 'PSMC5', 'PSMD12', 'RAB37', 'RGS9', 'RPL38', 'SCN4A', 'SDK2', 'SLC16A5', 'SLC16A6', 'SLC25A19', 'SLC35B1', 'SLC9A3R1', 'SMARCD2', 'SNHG25', 'SNORA38B', 'SNORA50C', 'SNORD104', 'STRADA', 'SUMO2', 'TAC4', 'TCAM1P', 'TEX2', 'TMEM104', 'TMEM94', 'TSEN54', 'TTYH2', 'USH1G', 'WIPI1']
MDAMB453_BREAST	ACH-000910	MDAMB453_BREAST_amplicon5_Linear amplification_1	Linear amplification	['COX11', 'ERBB2', 'GRB7', 'GSDMA', 'GSDMB', 'IKZF3', 'LRRC3C', 'MIEN1', 'NEUROD2', 'ORMDL3', 'PGAP3', 'PNMT', 'PPP1R1B', 'STARD3', 'STXBP4', 'TCAP', 'ZPBP2']
MDAMB453_BREAST	ACH-000910	MDAMB453_BREAST_amplicon6_Linear amplification_1	Linear amplification	[]
MDAMB453_BREAST	ACH-000910	MDAMB453_BREAST_amplicon9_ecDNA_1	ecDNA	['ATP6AP1', 'BRCC3', 'CH17-340M24.3', 'CLIC2', 'CMC4', 'CTAG1A', 'CTAG1B', 'CTAG2', 'DKC1', 'DNASE1L1', 'EMD', 'F8', 'F8A1', 'F8A2', 'F8A3', 'FAM223A', 'FAM223B', 'FAM3A', 'FAM50A', 'FLNA', 'FUNDC2', 'G6PD', 'GAB3', 'GDI1', 'H2AB1', 'H2AB2', 'H2AB3', 'IKBKG', 'LAGE3', 'MECP2', 'MPP1', 'MTCP1', 'OPN1LW', 'OPN1MW', 'OPN1MW2', 'OPN1MW3', 'PLXNA3', 'RAB39B', 'RPL10', 'SLC10A3', 'SMIM9', 'SNORA36A', 'SNORA56', 'SNORA70', 'TAZ', 'TEX28', 'TKTL1', 'TMLHE-AS1', 'UBL4A', 'VBP1']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon10_ecDNA_1	ecDNA	['CLDN11', 'GPR160', 'LRRC31', 'LRRC34', 'LRRIQ4', 'PHC3', 'PRKCI', 'SAMD7', 'SEC62', 'SKIL', 'SLC7A14', 'SLC7A14-AS1']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon11_ecDNA_1	ecDNA	['TBL1XR1']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon12_Complex non-cyclic_1	Complex non-cyclic	['BRD8', 'KIF20A', 'NME5']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon13_Complex non-cyclic_1	Complex non-cyclic	['CD83', 'GFOD1', 'MCUR1', 'NOL7', 'RANBP9', 'RNF182', 'SIRT5', 'TBC1D7', 'TBC1D7-LOC100130357']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon14_Complex non-cyclic_1	Complex non-cyclic	['DTNBP1', 'JARID2', 'JARID2-AS1']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon15_Linear amplification_1	Linear amplification	['MDGA1']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon16_Linear amplification_1	Linear amplification	['CCN6', 'FAM229B', 'FYN', 'REV3L', 'TRAF3IP2', 'TRAF3IP2-AS1', 'TUBE1']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon17_ecDNA_1	ecDNA	['DUPD1', 'KAT6B', 'SNORD172']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon18_ecDNA_1	ecDNA	['ARCN1', 'IFT46', 'PHLDB1', 'TMEM25', 'TREH', 'TTC36']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon1_ecDNA_1	ecDNA	['LAPTM5', 'MATN1', 'MATN1-AS1', 'NKAIN1', 'SDC3', 'SNORD103A', 'SNORD103B', 'SNORD103C', 'SNRNP40', 'ZCCHC17']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon20_ecDNA_1	ecDNA	['ANAPC7', 'ARPC3', 'ATP2A2', 'FAM216A', 'GPN3', 'PPTC7', 'RAD9B', 'VPS29']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon21_Linear amplification_1	Linear amplification	['ESRP2', 'PLA2G15', 'PRMT7', 'SLC7A6', 'SLC7A6OS']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon22_Linear amplification_1	Linear amplification	['ALDOC', 'DHRS13', 'ERAL1', 'FAM222B', 'FLOT2', 'FOXN1', 'KIAA0100', 'NEK8', 'PHF12', 'PIGS', 'PROCA1', 'RAB34', 'RPL23A', 'RSKR', 'SDF2', 'SNORD42A', 'SNORD42B', 'SNORD4A', 'SNORD4B', 'SPAG5', 'SPAG5-AS1', 'SUPT6H', 'TLCD1', 'TRAF4', 'UNC119']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon23_ecDNA_1	ecDNA	['ARL5C', 'CACNB1', 'CASC3', 'CDK12', 'CSF3', 'ERBB2', 'FBXL20', 'FBXO47', 'GRB7', 'GSDMA', 'GSDMB', 'IKZF3', 'LRRC37A11P', 'LRRC3C', 'MED1', 'MED24', 'MIEN1', 'MSL1', 'NEUROD2', 'NR1D1', 'ORMDL3', 'PGAP3', 'PLXDC1', 'PNMT', 'PPP1R1B', 'PSMD3', 'RDM1P5', 'RPL19', 'SNORD124', 'STAC2', 'STARD3', 'TCAP', 'THRA', 'ZPBP2']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon24_Linear amplification_1	Linear amplification	['THRA1/BTR']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon25_ecDNA_1	ecDNA	['SLC19A1']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon2_Linear amplification_1	Linear amplification	['RNVU1-17']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon3_ecDNA_1	ecDNA	['CGN', 'FXYD3', 'GBAT2', 'GRAMD1A', 'HPN', 'HPN-AS1', 'PI4KB', 'POGZ', 'PSMB4', 'PSMD4', 'RFX5', 'SCN1B', 'SELENBP1', 'TUFT1', 'ZNF30', 'ZNF30-AS1', 'ZNF687', 'ZNF687-AS1', 'ZNF792']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon4_Linear amplification_1	Linear amplification	['LAMTOR2', 'LMNA', 'MEX3A', 'RAB25', 'SEMA4A', 'SLC25A44', 'SSR2', 'UBQLN4']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon5_ecDNA_1	ecDNA	['CDK2', 'DGKA', 'ERBB3', 'ESYT1', 'IKZF4', 'LBH', 'MYL6', 'MYL6B', 'PA2G4', 'PMEL', 'PYM1', 'RAB5B', 'RPL41', 'RPS26', 'SMARCC2', 'SNORA10B', 'SUOX', 'YPEL5', 'ZC3H10']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon6_ecDNA_1	ecDNA	['ALS2CL', 'FAM240A', 'PRSS46P', 'PRSS50', 'TMIE']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon7_Linear amplification_1	Linear amplification	['SNORD146']
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon8_ecDNA_1	ecDNA	[]
MFE280_ENDOMETRIUM	ACH-000192	MFE280_ENDOMETRIUM_amplicon9_ecDNA_1	ecDNA	['CLRN1', 'CLRN1-AS1']
MFE319_ENDOMETRIUM	ACH-000988	MFE319_ENDOMETRIUM_amplicon1_ecDNA_1	ecDNA	[]
MKN1_STOMACH	ACH-000351	MKN1_STOMACH_amplicon1_Linear amplification_1	Linear amplification	['ATAD2B', 'FAM228B', 'FKBP1B', 'MFSD2B', 'SF3B6', 'TP53I3', 'UBXN2A', 'WDCP']
MKN1_STOMACH	ACH-000351	MKN1_STOMACH_amplicon2_ecDNA_1	ecDNA	['BCAT1', 'BHLHE41', 'C12orf71', 'C12orf77', 'CAPRIN2', 'CASC1', 'CCDC91', 'DDX11', 'DDX11-AS1', 'ERGIC2', 'ETFRF1', 'FAR2', 'FGFR1OP2', 'INTS13', 'IPO8', 'ITPR2', 'KRAS', 'LMNTD1', 'LRMP', 'MED21', 'OVCH1', 'OVCH1-AS1', 'OVOS2', 'RASSF8', 'RASSF8-AS1', 'SSPN', 'STK38L', 'TM7SF3', 'TMTC1', 'TSPAN11']
MKN1_STOMACH	ACH-000351	MKN1_STOMACH_amplicon3_Complex non-cyclic_1	Complex non-cyclic	['ADGRB1', 'ARC', 'BREA2', 'C8orf31', 'CCDC166', 'CDC42P3', 'CYC1', 'CYP11B1', 'CYP11B2', 'EEF1D', 'EPPK1', 'EXOSC4', 'FAM83H', 'FAM83H-AS1', 'GLI4', 'GML', 'GPAA1', 'GPIHBP1', 'GRINA', 'GSDMD', 'HGH1', 'JRK', 'LNCOC1', 'LY6D', 'LY6E', 'LY6E-DT', 'LY6H', 'LY6K', 'LY6L', 'LYNX1', 'LYNX1-SLURP2', 'LYPD2', 'MAF1', 'MAFA', 'MAFA-AS1', 'MAPK15', 'MINCR', 'MROH1', 'MROH6', 'NAPRT', 'NRBP2', 'OPLAH', 'PARP10', 'PLEC', 'PSCA', 'PUF60', 'PYCR3', 'RHPN1', 'RHPN1-AS1', 'SCRIB', 'SHARPIN', 'SLURP1', 'SLURP2', 'SMPD5', 'SNORD149', 'SPATC1', 'THEM6', 'TIGD5', 'TOP1MT', 'TSNARE1', 'TSTA3', 'WDR97', 'ZC3H3', 'ZFP41', 'ZNF623', 'ZNF696', 'ZNF707']
MKN1_STOMACH	ACH-000351	MKN1_STOMACH_amplicon4_Linear amplification_1	Linear amplification	['ARHGAP39', 'COMMD5', 'RPL8', 'ZNF16', 'ZNF250', 'ZNF251', 'ZNF34', 'ZNF517', 'ZNF7']
MKN1_STOMACH	ACH-000351	MKN1_STOMACH_amplicon5_BFB_1	BFB	[]
MKN1_STOMACH	ACH-000351	MKN1_STOMACH_amplicon6_Complex non-cyclic_1	Complex non-cyclic	['ALKBH6', 'ANKRD27', 'APLP1', 'ARHGAP33', 'ATP4A', 'CAPNS1', 'CD22', 'CEBPA', 'CEBPA-DT', 'CEBPG', 'CEP89', 'CHST8', 'CLIP3', 'COX6B1', 'COX7A1', 'DMKN', 'DPY19L3', 'ETV2', 'FAAP24', 'FAM187B', 'FFAR1', 'FFAR2', 'FFAR3', 'FXYD1', 'FXYD3', 'FXYD5', 'FXYD7', 'GAPDHS', 'GPATCH1', 'GPI', 'GPR42', 'GRAMD1A', 'HAMP', 'HAUS5', 'HCST', 'HPN', 'HPN-AS1', 'HSPB6', 'IGFLR1', 'KCTD15', 'KIAA0355', 'KIRREL2', 'KMT2B', 'KRTDAP', 'LGI4', 'LIN37', 'LRFN3', 'LRP3', 'LSM14A', 'LSR', 'MAG', 'NFKBID', 'NPHS1', 'NUDT19', 'OVOL3', 'PDCD2L', 'PDCD5', 'PEPD', 'POLR2I', 'PRODH2', 'PROSER3', 'PSENEN', 'RBM42', 'RGS9BP', 'RHPN2', 'SBSN', 'SCGB1B2P', 'SCGB2B2', 'SCGB2B3P', 'SCN1B', 'SDHAF1', 'SLC7A10', 'SLC7A9', 'SNORA68B', 'SYNE4', 'TBCB', 'TDRD12', 'THAP8', 'THEG5', 'TMEM147', 'TMEM147-AS1', 'TSHZ3', 'TYROBP', 'U2AF1L4', 'UBA2', 'UPK1A', 'UPK1A-AS1', 'USF2', 'WDR62', 'WDR88', 'WTIP', 'ZBTB32', 'ZNF146', 'ZNF181', 'ZNF30', 'ZNF30-AS1', 'ZNF302', 'ZNF507', 'ZNF536', 'ZNF565', 'ZNF599', 'ZNF792', 'ZNF807P']
MKN1_STOMACH	ACH-000351	MKN1_STOMACH_amplicon7_ecDNA_1	ecDNA	['B4GALT5', 'PTGIS', 'SLC9A8']
MKN45_STOMACH	ACH-000356	MKN45_STOMACH_amplicon1_ecDNA_1	ecDNA	['AASS', 'ANKRD7', 'ASZ1', 'CAPZA2', 'CAV1', 'CAV2', 'CFTR', 'CFTR-AS1', 'CPED1', 'CTTNBP2', 'FAM3C', 'FEZF1', 'FEZF1-AS1', 'FOXP2', 'ING3', 'KCND2', 'LSM8', 'MDFIC', 'MET', 'PPP1R3A', 'PTPRZ1', 'SNORA25B', 'ST7', 'ST7-AS1', 'ST7-AS2', 'ST7-OT3', 'ST7-OT4', 'TES', 'TFEC', 'TSPAN12', 'WNT16', 'WNT2']
MKN45_STOMACH	ACH-000356	MKN45_STOMACH_amplicon2_ecDNA_1	ecDNA	['BBOX1', 'BBOX1-AS1', 'BDNF', 'BDNF-AS', 'CCDC34', 'CCDC82', 'FIBIN', 'JRKL', 'JRKL-AS1', 'LGR4', 'LGR4-AS1', 'LIN7C', 'MAML2']
MKN45_STOMACH	ACH-000356	MKN45_STOMACH_amplicon3_Linear amplification_1	Linear amplification	['CAPN5', 'GDPD4', 'MYO7A', 'OMP']
MKN45_STOMACH	ACH-000356	MKN45_STOMACH_amplicon4_Linear amplification_1	Linear amplification	['FOLH1B', 'NOX4', 'TRIM49', 'TRIM49C', 'TRIM49D1', 'TRIM49D2', 'TRIM51EP', 'TRIM53AP', 'TRIM64', 'TRIM64B', 'TRIM77']
MKN45_STOMACH	ACH-000356	MKN45_STOMACH_amplicon5_Linear amplification_1	Linear amplification	['CAND1', 'DYRK2']
MKN74_STOMACH	ACH-000758	MKN74_STOMACH_amplicon1_Complex non-cyclic_1	Complex non-cyclic	['ARHGEF16', 'C1orf174', 'CCDC27', 'CEP104', 'DFFB', 'LRRC47', 'MEGF6', 'SMIM1', 'TP73', 'TP73-AS1', 'TPRG1L', 'WRAP73']
MKN74_STOMACH	ACH-000758	MKN74_STOMACH_amplicon3_Linear amplification_1	Linear amplification	[]
MKN74_STOMACH	ACH-000758	MKN74_STOMACH_amplicon4_Complex non-cyclic_1	Complex non-cyclic	['ARHGEF39', 'ARID3C', 'ATP8B5P', 'C9orf131', 'C9orf24', 'CA9', 'CCDC107', 'CCIN', 'CCL19', 'CCL21', 'CCL27', 'CD72', 'CLTA', 'CNTFR', 'CNTFR-AS1', 'CREB3', 'DCTN3', 'DNAI1', 'DNAJB5', 'DNAJB5-DT', 'ENHO', 'FAM166B', 'FAM205A', 'FAM205BP', 'FAM205C', 'FAM214B', 'FAM219A', 'FAM221B', 'FANCG', 'GALT', 'GBA2', 'GLIPR2', 'GNE', 'HINT2', 'HRCT1', 'IL11RA', 'MELK', 'MSMP', 'MYORG', 'NPR2', 'OR13J1', 'OR2S2', 'PHF24', 'PIGO', 'RECK', 'RGP1', 'RMRP', 'RNF38', 'RPP25L', 'RUSC2', 'SIGMAR1', 'SIT1', 'SPAAR', 'SPAG8', 'STOML2', 'TESK1', 'TLN1', 'TMEM8B', 'TPM2', 'UNC13B', 'VCP']
MKN74_STOMACH	ACH-000758	MKN74_STOMACH_amplicon5_ecDNA_1	ecDNA	['NR2F2', 'NR2F2-AS1']
MKN74_STOMACH	ACH-000758	MKN74_STOMACH_amplicon6_Complex non-cyclic_1	Complex non-cyclic	['AIFM3', 'ARVCF', 'BCRP2', 'CCDC188', 'CRKL', 'DGCR6L', 'DGCR8', 'FAM230B', 'FAM230G', 'GGT2', 'KLHL22', 'LRRC74B', 'LZTR1', 'MED15', 'P2RX6', 'P2RX6P', 'PI4KA', 'POM121L4P', 'POM121L8P', 'RANBP1', 'RTN4R', 'SCARF2', 'SERPIND1', 'SLC7A4', 'SNAP29', 'SNORA77B', 'TANGO2', 'THAP7', 'THAP7-AS1', 'TMEM191A', 'TRMT2A', 'TUBA3FP', 'ZDHHC8', 'ZNF74']
MKN7_STOMACH	ACH-000678	MKN7_STOMACH_amplicon10_Linear amplification_1	Linear amplification	['KCTD21', 'USP35']
MKN7_STOMACH	ACH-000678	MKN7_STOMACH_amplicon11_Linear amplification_1	Linear amplification	['ARF6', 'KLHDC2', 'NEMF', 'RN7SL2', 'RN7SL3', 'SOS2', 'VCPKMT']
MKN7_STOMACH	ACH-000678	MKN7_STOMACH_amplicon12_ecDNA_1	ecDNA	['ZFP36L1']
MKN7_STOMACH	ACH-000678	MKN7_STOMACH_amplicon13_Linear amplification_1	Linear amplification	[]
